genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
ARF5	4	-1	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	-1	-1	3	-1	-1	-1	-1	-1	4	0	4	4	3	-1	2	0	4
NUBP1	1	4	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	0	0	-1	-1	-1	-1	-1	3	0	-1	4	4	-1	-1	0	4
FURIN	-1	3	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	3	-1	-1	-1	3	0	3	4	-1	-1	-1	-1	-1	-1	3	5	-1	4	4	5	2	0	4
LGALS3	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	0	-1	-1	0	-1
SREBF1	-1	-1	0	4	-1	-1	4	4	4	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	3	-1	-1	-1	3	0	3	4	-1	-1	-1	-1	-1	-1	5	-1	-1	4	-1	1	0	-1
GAS6	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	3	0	3	-1	-1	4	-1	-1	1
SPP1	-1	-1	4	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	5	5	2	0	1	1	0	1
CTSH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	1	0	-1
PLA2G7	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3	-1	-1	-1	-1	-1	-1	-1	3	5	-1	2	-1	1	1	0	1
GLUL	-1	-1	-1	-1	1	4	4	4	4	4	4	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	4	-1	-1	4	4	-1	-1	0	1	2	0	4
