genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
ARF5	2.0305	             NaN	1.2781	             NaN	             NaN	             NaN	             NaN	             NaN	1.9539	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1895	             NaN	             NaN	             NaN	             NaN	             NaN	3.3136	             NaN	             NaN	1.0951	             NaN	             NaN	             NaN	             NaN	             NaN	2.7698	1.153	1.1245	1.0196	1.0922	             NaN	1.263	2.1043	1.237
NUBP1	1.2354	1.5192	             NaN	             NaN	             NaN	             NaN	             NaN	1.5859	             NaN	             NaN	             NaN	             NaN	1.0211	             NaN	             NaN	             NaN	             NaN	2.0617	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1926	             NaN	1.0882	1.1361	             NaN	             NaN	             NaN	             NaN	             NaN	1.9855	1.0661	             NaN	1.2788	1.2146	             NaN	             NaN	1.6323	1.3219
FURIN	             NaN	1.2855	             NaN	             NaN	1.3438	             NaN	             NaN	1.3099	1.4234	             NaN	             NaN	             NaN	             NaN	             NaN	1.3524	1.3736	             NaN	             NaN	             NaN	1.4016	             NaN	             NaN	             NaN	1.4354	1.3011	2.0917	1.0007	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.3757	2.7634	             NaN	1.0318	1.2653	1.1258	2.263	4.3646	1.0294
LGALS3	             NaN	             NaN	             NaN	             NaN	1.5557	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.6728	             NaN	2.4484	1.151	             NaN	             NaN	1.339	             NaN
SREBF1	             NaN	             NaN	1.4217	1.2161	             NaN	             NaN	1.3305	1.2941	1.2698	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7683	1.4485	             NaN	1.2153	             NaN	             NaN	             NaN	1.2064	1.069	2.891	1.1047	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.2172	             NaN	             NaN	1.0196	             NaN	1.0945	1.244	             NaN
GAS6	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2693	1.3419	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.99	             NaN	             NaN	2.8639	1.7824	1.5994	             NaN	             NaN	1.2653	             NaN	             NaN	1.2362
SPP1	             NaN	             NaN	1.0474	             NaN	6.2088	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2631	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1457	3.7527	1.0494	2.1028	1.0833	1.989	1.5646	1.1405	1
CTSH	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.0583	             NaN	1.7314	1.5903	             NaN	1.1315	2.3806	             NaN
PLA2G7	             NaN	             NaN	             NaN	             NaN	1.063	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.1119	1.0838	1.3421	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.1276	2.4276	             NaN	1.5036	             NaN	1.9813	1.1752	1.2605	1.1696
GLUL	             NaN	             NaN	             NaN	             NaN	1.1637	1.1152	1.0192	2.4533	1.6347	1.2296	1.9277	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3291	             NaN	             NaN	             NaN	             NaN	             NaN	1.2719	1.5929	1.3388	             NaN	             NaN	             NaN	1.15	1.34	             NaN	             NaN	2.275	1.1736	             NaN	             NaN	1.1813	1.063	5.0135	1.9706	1.4183
